@RELATION middle-earth-names

@ATTRIBUTE name string
@ATTRIBUTE race {Dwarf,Elf,Hobbit,Human,Maiar}

@DATA
"Adanel",Human
"Adrahil I",Human
"Adrahil II",Human
"Aegnor",Elf
"Aerin",Human
"Aglahad",Human
"Ailinel",Human
"Aldamir",Human
"Aldor",Human
"Algund",Human
"Almarian",Human
"Almiel",Human
"Alphros",Human
"Amandil",Human
"Amarië",Elf
"Amdír",Elf
"Amlaith",Human
"Amras",Elf
"Amrod",Elf
"Amroth",Elf
"Amrothos",Human
"Anairë",Elf
"Anardil",Human
"Anborn",Human
"Andreth",Human
"Andróg",Human
"Angamaitë",Human
"Angbor",Human
"Angelimir",Human
"Angrod",Elf
"Annael",Elf
"Anárion",Human
"Ar-Adûnakhôr",Human
"Ar-Gimilzôr",Human
"Ar-Pharazôn",Human
"Ar-Sakalthôr",Human
"Ar-Zimrathôn",Human
"Arador",Human
"Araglas",Human
"Aragorn I",Human
"Aragorn II Elessar",Human
"Aragost",Human
"Arahad I",Human
"Arahad II",Human
"Arahael",Human
"Aranarth",Human
"Arantar",Human
"Aranuir",Human
"Aranwë",Elf
"Araphant",Human
"Araphor",Human
"Arassuil",Human
"Aratan",Human
"Arathorn I",Human
"Arathorn II",Human
"Araval",Human
"Aravir",Human
"Aravorn",Human
"Arciryas",Human
"Ardamir",Human
"Aredhel",Elf
"Argeleb I",Human
"Argeleb II",Human
"Argon",Elf
"Argonui",Human
"Arminas",Elf
"Arthad",Human
"Arvedui",Human
"Arvegil",Human
"Arveleg I",Human
"Arveleg II",Human
"Arwen",Elf
"Atanalcar",Human
"Atanatar I",Human
"Atanatar II",Human
"Aulendil",Human
"Axantur",Human
"Azaghâl",Dwarf
"Angelica Baggins",Hobbit
"Balbo Baggins",Hobbit
"Belladonna Baggins",Hobbit
"Berylla Baggins",Hobbit
"Bungo Baggins",Hobbit
"Drogo Baggins",Hobbit
"Dudo Baggins",Hobbit
"Fosco Baggins",Hobbit
"Frodo Baggins",Hobbit
"Laura Baggins",Hobbit
"Longo Baggins",Hobbit
"Mungo Baggins",Hobbit
"Peony Burrows",Hobbit
"Ponto Baggins",Hobbit
"Ponto Baggins II",Hobbit
"Porto Baggins",Hobbit
"Bain",Human
"Balin",Dwarf
"Baragund",Human
"Barahir",Human
"Barahir",Human
"Baran",Human
"Baranor",Human
"Baranor",Human
"Bard",Human
"Bard II",Human
"Beldir",Human
"Beldis",Human
"Belecthor I",Human
"Belecthor II",Human
"Beleg of Arnor",Human
"Belegorn",Human
"Belegund",Human
"Belemir",Human
"Belen",Human
"Beorn",Human
"Bereg",Human
"Beregond",Human
"Beregond",Human
"Berelach",Human
"Beren",Human
"Beren",Human
"Beren",Human
"Bergil",Human
"Bifur",Dwarf
"Bilbo Baggins",Hobbit
"Black Serpent",Human
"Bladorthin",Human
"Blanco",Hobbit
"Bob",Hobbit
"Donnamira Boffin",Hobbit
"Basso Boffin",Hobbit
"Bosco Boffin",Hobbit
"Buffo Boffin",Hobbit
"Daisy Boffin",Hobbit
"Druda Burrows Boffin",Hobbit
"Folco Boffin",Hobbit
"Gerda Bolger",Hobbit
"Griffo Boffin",Hobbit
"Hugo Boffin",Hobbit
"Ivy Boffin",Hobbit
"Jago Boffin",Hobbit
"Otto Boffin",Hobbit
"Rollo Boffin",Hobbit
"Tosto Boffin",Hobbit
"Vigo Boffin",Hobbit
"Bofur",Dwarf
"Filibert Bolger",Hobbit
"Fredegar Bolger",Hobbit
"Jessamine Bolger",Hobbit
"Odovacar Bolger",Hobbit
"Rosamunda Bolger",Hobbit
"Wilibald Bolger",Hobbit
